DATE,POPTHM
2016/10/1,323876
2016/11/1,324052
2016/12/1,324216
2017/1/1,324362
2017/2/1,324494
2017/3/1,324632
2017/4/1,324783
2017/5/1,324944
2017/6/1,325117
2017/7/1,325296
2017/8/1,325476
2017/9/1,325653
2017/10/1,325820
2017/11/1,325968
2017/12/1,326100
2018/1/1,326216
2018/2/1,326323
2018/3/1,326437
2018/4/1,326563
2018/5/1,326699
2018/6/1,326847
2018/7/1,327005
2018/8/1,327167
2018/9/1,327328
2018/10/1,327477
2018/11/1,327607
2018/12/1,327722
2019/1/1,327824
2019/2/1,327921
2019/3/1,328025
2019/4/1,328140
2019/5/1,328267
2019/6/1,328404
2019/7/1,328561
2019/8/1,328730
2019/9/1,328897
2019/10/1,329054
2019/11/1,329191
2019/12/1,329314
